Comment,Emotion,cleaned_text,tokens,processed_tokens,processed_text
i seriously hate one subject to death but now i feel reluctant to drop it,fear,i seriously hate one subject to death but now i feel reluctant to drop it,"['i', 'seriously', 'hate', 'one', 'subject', 'to', 'death', 'but', 'now', 'i', 'feel', 'reluctant', 'to', 'drop', 'it']","['seriously', 'hate', 'one', 'subject', 'death', 'feel', 'reluctant', 'drop']",seriously hate one subject death feel reluctant drop
im so full of life i feel appalled,anger,im so full of life i feel appalled,"['im', 'so', 'full', 'of', 'life', 'i', 'feel', 'appalled']","['im', 'full', 'life', 'feel', 'appalled']",im full life feel appalled
i sit here to write i start to dig out my feelings and i think that i am afraid to accept the possibility that he might not make it,fear,i sit here to write i start to dig out my feelings and i think that i am afraid to accept the possibility that he might not make it,"['i', 'sit', 'here', 'to', 'write', 'i', 'start', 'to', 'dig', 'out', 'my', 'feelings', 'and', 'i', 'think', 'that', 'i', 'am', 'afraid', 'to', 'accept', 'the', 'possibility', 'that', 'he', 'might', 'not', 'make', 'it']","['sit', 'write', 'start', 'dig', 'feelings', 'think', 'afraid', 'accept', 'possibility', 'might', 'make']",sit write start dig feelings think afraid accept possibility might make
ive been really angry with r and i feel like an idiot for trusting him in the first place,joy,ive been really angry with r and i feel like an idiot for trusting him in the first place,"['ive', 'been', 'really', 'angry', 'with', 'r', 'and', 'i', 'feel', 'like', 'an', 'idiot', 'for', 'trusting', 'him', 'in', 'the', 'first', 'place']","['ive', 'really', 'angry', 'r', 'feel', 'like', 'idiot', 'trusting', 'first', 'place']",ive really angry r feel like idiot trusting first place
i feel suspicious if there is no one outside like the rapture has happened or something,fear,i feel suspicious if there is no one outside like the rapture has happened or something,"['i', 'feel', 'suspicious', 'if', 'there', 'is', 'no', 'one', 'outside', 'like', 'the', 'rapture', 'has', 'happened', 'or', 'something']","['feel', 'suspicious', 'one', 'outside', 'like', 'rapture', 'happened', 'something']",feel suspicious one outside like rapture happened something
i feel jealous becasue i wanted that kind of love the true connection between two souls and i wanted that,anger,i feel jealous becasue i wanted that kind of love the true connection between two souls and i wanted that,"['i', 'feel', 'jealous', 'becasue', 'i', 'wanted', 'that', 'kind', 'of', 'love', 'the', 'true', 'connection', 'between', 'two', 'souls', 'and', 'i', 'wanted', 'that']","['feel', 'jealous', 'becasue', 'wanted', 'kind', 'love', 'true', 'connection', 'two', 'souls', 'wanted']",feel jealous becasue wanted kind love true connection two souls wanted
when a friend of mine keeps telling me morbid things that happened to his dog,anger,when a friend of mine keeps telling me morbid things that happened to his dog,"['when', 'a', 'friend', 'of', 'mine', 'keeps', 'telling', 'me', 'morbid', 'things', 'that', 'happened', 'to', 'his', 'dog']","['friend', 'mine', 'keeps', 'telling', 'morbid', 'things', 'happened', 'dog']",friend mine keeps telling morbid things happened dog
i finally fell asleep feeling angry useless and still full of anxiety,anger,i finally fell asleep feeling angry useless and still full of anxiety,"['i', 'finally', 'fell', 'asleep', 'feeling', 'angry', 'useless', 'and', 'still', 'full', 'of', 'anxiety']","['finally', 'fell', 'asleep', 'feeling', 'angry', 'useless', 'still', 'full', 'anxiety']",finally fell asleep feeling angry useless still full anxiety
i feel a bit annoyed and antsy in a good way,anger,i feel a bit annoyed and antsy in a good way,"['i', 'feel', 'a', 'bit', 'annoyed', 'and', 'antsy', 'in', 'a', 'good', 'way']","['feel', 'bit', 'annoyed', 'antsy', 'good', 'way']",feel bit annoyed antsy good way
i feel like i ve regained another vital part of my life which is living,joy,i feel like i ve regained another vital part of my life which is living,"['i', 'feel', 'like', 'i', 've', 'regained', 'another', 'vital', 'part', 'of', 'my', 'life', 'which', 'is', 'living']","['feel', 'like', 'regained', 'another', 'vital', 'part', 'life', 'living']",feel like regained another vital part life living
i feel a bit like franz liebkind in the producers not many people know it but the fuhrer was a terrific dancer,joy,i feel a bit like franz liebkind in the producers not many people know it but the fuhrer was a terrific dancer,"['i', 'feel', 'a', 'bit', 'like', 'franz', 'liebkind', 'in', 'the', 'producers', 'not', 'many', 'people', 'know', 'it', 'but', 'the', 'fuhrer', 'was', 'a', 'terrific', 'dancer']","['feel', 'bit', 'like', 'franz', 'liebkind', 'producers', 'many', 'people', 'know', 'fuhrer', 'terrific', 'dancer']",feel bit like franz liebkind producers many people know fuhrer terrific dancer
i was feeling at the start didnt want to move much at all was really glad to experience this glimpse into the sort of vibrant energy i will gain through out the year,joy,i was feeling at the start didnt want to move much at all was really glad to experience this glimpse into the sort of vibrant energy i will gain through out the year,"['i', 'was', 'feeling', 'at', 'the', 'start', 'didnt', 'want', 'to', 'move', 'much', 'at', 'all', 'was', 'really', 'glad', 'to', 'experience', 'this', 'glimpse', 'into', 'the', 'sort', 'of', 'vibrant', 'energy', 'i', 'will', 'gain', 'through', 'out', 'the', 'year']","['feeling', 'start', 'didnt', 'want', 'move', 'much', 'really', 'glad', 'experience', 'glimpse', 'sort', 'vibrant', 'energy', 'gain', 'year']",feeling start didnt want move much really glad experience glimpse sort vibrant energy gain year
i was bitten by a dog,fear,i was bitten by a dog,"['i', 'was', 'bitten', 'by', 'a', 'dog']","['bitten', 'dog']",bitten dog
i do not always find myself feeling thankful but over the years i ve gathered a few tricks that allow me to feel grateful in the face of moments when the last thing i want to do is say thanks,joy,i do not always find myself feeling thankful but over the years i ve gathered a few tricks that allow me to feel grateful in the face of moments when the last thing i want to do is say thanks,"['i', 'do', 'not', 'always', 'find', 'myself', 'feeling', 'thankful', 'but', 'over', 'the', 'years', 'i', 've', 'gathered', 'a', 'few', 'tricks', 'that', 'allow', 'me', 'to', 'feel', 'grateful', 'in', 'the', 'face', 'of', 'moments', 'when', 'the', 'last', 'thing', 'i', 'want', 'to', 'do', 'is', 'say', 'thanks']","['always', 'find', 'feeling', 'thankful', 'years', 'gathered', 'tricks', 'allow', 'feel', 'grateful', 'face', 'moments', 'last', 'thing', 'want', 'say', 'thanks']",always find feeling thankful years gathered tricks allow feel grateful face moments last thing want say thanks
i just try not to talk to anyone when i feel irritable like that,anger,i just try not to talk to anyone when i feel irritable like that,"['i', 'just', 'try', 'not', 'to', 'talk', 'to', 'anyone', 'when', 'i', 'feel', 'irritable', 'like', 'that']","['try', 'talk', 'anyone', 'feel', 'irritable', 'like']",try talk anyone feel irritable like
i feel like they hated me since then,anger,i feel like they hated me since then,"['i', 'feel', 'like', 'they', 'hated', 'me', 'since', 'then']","['feel', 'like', 'hated', 'since']",feel like hated since
i dont know who wrote the following little note but this is how i feel today if u r offended by the following posting then you obviously have not lived long enough to be compromised on how you act or believe,anger,i dont know who wrote the following little note but this is how i feel today if u r offended by the following posting then you obviously have not lived long enough to be compromised on how you act or believe,"['i', 'dont', 'know', 'who', 'wrote', 'the', 'following', 'little', 'note', 'but', 'this', 'is', 'how', 'i', 'feel', 'today', 'if', 'u', 'r', 'offended', 'by', 'the', 'following', 'posting', 'then', 'you', 'obviously', 'have', 'not', 'lived', 'long', 'enough', 'to', 'be', 'compromised', 'on', 'how', 'you', 'act', 'or', 'believe']","['dont', 'know', 'wrote', 'following', 'little', 'note', 'feel', 'today', 'u', 'r', 'offended', 'following', 'posting', 'obviously', 'lived', 'long', 'enough', 'compromised', 'act', 'believe']",dont know wrote following little note feel today u r offended following posting obviously lived long enough compromised act believe
i feel offended i choose to tell you guys how i feel because i treated you guys as friends and would want to put a stop to all these nonsense,anger,i feel offended i choose to tell you guys how i feel because i treated you guys as friends and would want to put a stop to all these nonsense,"['i', 'feel', 'offended', 'i', 'choose', 'to', 'tell', 'you', 'guys', 'how', 'i', 'feel', 'because', 'i', 'treated', 'you', 'guys', 'as', 'friends', 'and', 'would', 'want', 'to', 'put', 'a', 'stop', 'to', 'all', 'these', 'nonsense']","['feel', 'offended', 'choose', 'tell', 'guys', 'feel', 'treated', 'guys', 'friends', 'would', 'want', 'put', 'stop', 'nonsense']",feel offended choose tell guys feel treated guys friends would want put stop nonsense
i remember feeling as if i didn t belong and that i wasn t smart enough cool enough or even young enough,joy,i remember feeling as if i didn t belong and that i wasn t smart enough cool enough or even young enough,"['i', 'remember', 'feeling', 'as', 'if', 'i', 'didn', 't', 'belong', 'and', 'that', 'i', 'wasn', 't', 'smart', 'enough', 'cool', 'enough', 'or', 'even', 'young', 'enough']","['remember', 'feeling', 'belong', 'smart', 'enough', 'cool', 'enough', 'even', 'young', 'enough']",remember feeling belong smart enough cool enough even young enough
i feel like i have to redeem myself even though i think they realized why i was distraught and were ok with it,fear,i feel like i have to redeem myself even though i think they realized why i was distraught and were ok with it,"['i', 'feel', 'like', 'i', 'have', 'to', 'redeem', 'myself', 'even', 'though', 'i', 'think', 'they', 'realized', 'why', 'i', 'was', 'distraught', 'and', 'were', 'ok', 'with', 'it']","['feel', 'like', 'redeem', 'even', 'though', 'think', 'realized', 'distraught', 'ok']",feel like redeem even though think realized distraught ok
